feature,group,n_observed,missing_n,mean,SD,median,Q1,Q3,minimum,maximum
Male sex,Overall,181,0,0.585635359116022,0.4939784741919522,1.0,0.0,1.0,0.0,1.0
Male sex,No impairment,129,0,0.5581395348837209,0.4985443928356902,1.0,0.0,1.0,0.0,1.0
Male sex,Impairment,52,0,0.6538461538461539,0.48038446141526137,1.0,0.0,1.0,0.0,1.0
Weight (kg),Overall,181,0,8.853591160220995,6.4774438398636915,7.5,6.8,8.5,5.5,79.0
Weight (kg),No impairment,129,0,9.082945736434109,7.379385603141021,7.5,6.8,8.5,5.9,79.0
Weight (kg),Impairment,52,0,8.284615384615385,3.308953072711327,7.5,6.7,8.5,5.5,26.0
Preoperative CRP,Overall,171,10,1.92093567251462,3.545099227261735,1.03,0.98,1.52,0.95,28.94
Preoperative CRP,No impairment,123,6,2.08739837398374,4.073048730735756,1.03,0.98,1.6349999999999998,0.95,28.94
Preoperative CRP,Impairment,48,4,1.4943749999999998,1.461747578770888,1.02,0.9775,1.2975,0.95,8.95
Preoperative neutrophils,Overall,171,10,2.281754385964912,1.6388271876813585,1.89,1.475,2.52,0.55,17.4
Preoperative neutrophils,No impairment,123,6,2.1309756097560975,1.0279219963342456,1.88,1.4449999999999998,2.495,0.55,5.63
Preoperative neutrophils,Impairment,48,4,2.6681250000000003,2.5999522550853507,1.93,1.5925,2.7425,0.96,17.4
Driving pressure (OLV-30 min),Overall,172,9,16.703488372093023,2.5954051920605985,17.0,15.0,18.0,11.0,24.0
Driving pressure (OLV-30 min),No impairment,123,6,16.447154471544714,2.4734765207888625,17.0,15.0,18.0,11.0,23.0
Driving pressure (OLV-30 min),Impairment,49,3,17.346938775510203,2.802907868091066,18.0,15.0,18.0,11.0,24.0
PEEP (OLV-30 min),Overall,172,9,2.505813953488372,1.4326889331670591,3.0,2.0,3.0,0.0,5.0
PEEP (OLV-30 min),No impairment,123,6,2.658536585365854,1.3539817920942183,3.0,2.0,3.0,0.0,5.0
PEEP (OLV-30 min),Impairment,49,3,2.122448979591837,1.5630186214131787,2.0,0.0,3.0,0.0,5.0
PaCO2 (OLV-30 min),Overall,166,15,44.73674698795181,6.04168642088649,43.9,40.8,48.475,28.0,62.7
PaCO2 (OLV-30 min),No impairment,115,14,44.073043478260864,5.548720758832307,43.2,40.150000000000006,48.45,31.1,57.1
PaCO2 (OLV-30 min),Impairment,51,1,46.233333333333334,6.852843691976833,45.6,41.8,48.599999999999994,28.0,62.7
Blood base excess (OLV-30 min),Overall,165,16,-2.996,1.4768806943574873,-3.1,-4.0,-2.2,-6.9,6.3
Blood base excess (OLV-30 min),No impairment,114,15,-3.060526315789474,1.62233407846017,-3.2,-4.1,-2.4,-6.9,6.3
Blood base excess (OLV-30 min),Impairment,51,1,-2.8517647058823523,1.084111997687237,-2.7,-3.6,-2.05,-5.0,-0.34
Heart rate (OLV-30 min),Overall,172,9,141.12209302325581,16.611212314006575,143.0,135.0,151.0,71.0,179.0
Heart rate (OLV-30 min),No impairment,123,6,139.1869918699187,17.037735165376507,141.0,135.0,148.5,71.0,174.0
Heart rate (OLV-30 min),Impairment,49,3,145.9795918367347,14.543741202430182,145.0,138.0,155.0,112.0,179.0
Ti/Ttot (OLV-30 min),Overall,172,9,0.34278100775193804,0.022527908640715737,0.35,0.326666666666667,0.35,0.275,0.408333333333333
Ti/Ttot (OLV-30 min),No impairment,123,6,0.3407317073170732,0.02232210216483947,0.35,0.326666666666667,0.35,0.275,0.408333333333333
Ti/Ttot (OLV-30 min),Impairment,49,3,0.3479251700680273,0.022444712454339294,0.35,0.333333333333333,0.35,0.3,0.408333333333333
