,Male sex,Weight (kg),Preoperative CRP,Preoperative neutrophils,Driving pressure (OLV-30 min),PEEP (OLV-30 min),PaCO2 (OLV-30 min),Blood base excess (OLV-30 min),Heart rate (OLV-30 min),Ti/Ttot (OLV-30 min)
Male sex,1.0,0.17641940462950748,-0.098400608801271,-0.17640775835890737,0.12717715540848895,-0.115235780356633,0.05918455472727616,0.1023874662923168,-0.12104333063688483,0.010757449983444264
Weight (kg),0.17641940462950748,1.0,-0.037913919256598066,0.19011141466425507,-0.2596175956192942,-0.07410007076289213,-0.18392565968114943,0.15320711473426138,-0.37766914892716913,0.022713819488917212
Preoperative CRP,-0.098400608801271,-0.037913919256598066,1.0,0.04633015892048891,0.10318706043188243,0.12702489813531134,0.06111874800637377,-0.13906167510612724,0.15506522668022,-0.0772410115244238
Preoperative neutrophils,-0.17640775835890737,0.19011141466425507,0.04633015892048891,1.0,-0.16416654961873306,0.08435791466622099,-0.06269878407115136,0.17967076904667775,-0.1254710904056851,0.05967396748785383
Driving pressure (OLV-30 min),0.12717715540848895,-0.2596175956192942,0.10318706043188243,-0.16416654961873306,1.0,-0.30969486450363276,0.17852332928483827,-0.05418706047568884,0.2108306798019338,0.029468314818178954
PEEP (OLV-30 min),-0.115235780356633,-0.07410007076289213,0.12702489813531134,0.08435791466622099,-0.30969486450363276,1.0,0.07179554617260109,-0.045828864538452654,0.1108997678811299,0.02628827878734498
PaCO2 (OLV-30 min),0.05918455472727616,-0.18392565968114943,0.06111874800637377,-0.06269878407115136,0.17852332928483827,0.07179554617260109,1.0,-0.36828228942541397,0.15195633816395984,-0.006200745822586356
Blood base excess (OLV-30 min),0.1023874662923168,0.15320711473426138,-0.13906167510612724,0.17967076904667775,-0.05418706047568884,-0.045828864538452654,-0.36828228942541397,1.0,-0.06387118498381417,-0.08445619335864031
Heart rate (OLV-30 min),-0.12104333063688483,-0.37766914892716913,0.15506522668022,-0.1254710904056851,0.2108306798019338,0.1108997678811299,0.15195633816395984,-0.06387118498381417,1.0,-0.005683957762258325
Ti/Ttot (OLV-30 min),0.010757449983444264,0.022713819488917212,-0.0772410115244238,0.05967396748785383,0.029468314818178954,0.02628827878734498,-0.006200745822586356,-0.08445619335864031,-0.005683957762258325,1.0
