feature,R_squared_against_other_candidates,VIF
Heart rate (OLV-30 min),0.4088628323250747,1.6916547540619442
Weight (kg),0.37192619223647894,1.592169562938556
Driving pressure (OLV-30 min),0.2883541345432499,1.4051932970314915
PEEP (OLV-30 min),0.18639623643637016,1.2290995258182487
PaCO2 (OLV-30 min),0.15977863430354933,1.1901625462369794
Blood base excess (OLV-30 min),0.15286350631678303,1.1804473157001611
Preoperative neutrophils,0.1396503124821773,1.1623180835749236
Male sex,0.08716314290812155,1.095486003036519
Ti/Ttot (OLV-30 min),0.02557052978188168,1.0262415398583522
Preoperative CRP,0.018221239619306884,1.0185594151703194
