model,C,l1_ratio,mean_inner_log_loss,se_inner_log_loss,mean_n_selected
ridge,0.2,,0.5379830930162472,0.015968283470999548,10.0
ridge,0.1,,0.5385986494563417,0.014494146046643234,10.0
ridge,0.5,,0.5431148541999754,0.017571712810345915,10.0
ridge,0.05,,0.5448060728317068,0.012956361662896373,10.0
ridge,1.0,,0.5489503718429182,0.01808615660891275,10.0
ridge,2.0,,0.5545538204044969,0.01821464201496343,10.0
ridge,5.0,,0.5600264262073887,0.01843711391226886,10.0
ridge,0.02,,0.5601293943902278,0.010528825316037575,10.0
ridge,10.0,,0.5625492839989071,0.018655832266720834,10.0
ridge,0.01,,0.5730290435529188,0.008686959666550838,10.0
ridge,0.005,,0.583578667754122,0.007303815786876184,10.0
ridge,0.002,,0.5923693469778104,0.006256075847028335,10.0
ridge,0.001,,0.5959111017448169,0.00586403663691962,10.0
elastic_net,0.2,0.2,0.5404204873166752,0.016145793581198165,9.2
elastic_net,0.5,0.5,0.5420541525198102,0.017795548734195907,8.8
elastic_net,0.5,0.2,0.5424088469636998,0.01754454514431576,9.2
elastic_net,0.5,0.8,0.5429784701964161,0.017958208035037407,8.6
elastic_net,0.5,1.0,0.5444219108009071,0.01815568318586064,8.6
elastic_net,1.0,1.0,0.5456616733024366,0.01795462848429967,9.0
elastic_net,1.0,0.8,0.546147481428926,0.01782211984539046,9.0
elastic_net,1.0,0.5,0.5469463604045127,0.017714609862159496,9.4
elastic_net,1.0,0.2,0.5480524867377554,0.017869075118047063,9.6
elastic_net,0.2,0.5,0.54823529532081,0.016431810491949222,8.6
elastic_net,0.1,0.2,0.5486078136452902,0.01440393331310601,9.0
elastic_net,2.0,1.0,0.5524209690342101,0.017419464242305657,9.2
elastic_net,2.0,0.8,0.552772080335327,0.017529751809255062,9.6
elastic_net,2.0,0.5,0.5533891486366939,0.01775709960960105,9.8
elastic_net,2.0,0.2,0.5540332811617976,0.01801960363861984,9.8
elastic_net,5.0,1.0,0.5594798342688382,0.017992956683194762,9.8
elastic_net,5.0,0.8,0.5595469447992638,0.018069601876093636,9.8
elastic_net,5.0,0.5,0.5596730124525345,0.01819475802712203,9.8
elastic_net,5.0,0.2,0.5598090230183679,0.018321470076916334,9.8
elastic_net,0.2,0.8,0.561288906409587,0.016418520059947348,7.8
elastic_net,10.0,1.0,0.5623205606012299,0.018441701612289568,9.8
elastic_net,10.0,0.8,0.5623275407152251,0.018475380116953936,9.8
elastic_net,10.0,0.5,0.5623449158546243,0.018532088220319303,9.8
elastic_net,10.0,0.2,0.5623712657552076,0.018590499422948888,10.0
elastic_net,0.2,1.0,0.5698034137791226,0.01637582174714321,7.4
elastic_net,0.05,0.2,0.5703341872941736,0.011729406682643483,8.2
elastic_net,0.1,0.5,0.5726204501198175,0.0138988606479856,7.4
elastic_net,0.1,0.8,0.5948097656247902,0.010363720573867549,4.6
elastic_net,0.05,1.0,0.5995454040544466,0.005240325633136908,0.0
elastic_net,0.05,0.8,0.5997467547736687,0.005329155663193822,0.0
elastic_net,0.01,0.2,0.6000936626796723,0.005158654576065343,0.0
elastic_net,0.02,0.2,0.6002515794095216,0.006178507037861506,3.0
elastic_net,0.02,0.5,0.6006820306031447,0.00505491334845347,0.0
elastic_net,0.05,0.5,0.6014043595130574,0.007010341151485785,3.0
elastic_net,0.1,1.0,0.6027941268887214,0.00791414928757318,2.8
elastic_net,0.02,1.0,0.6041405403653439,0.007466907869330518,0.0
elastic_net,0.02,0.8,0.605152182436884,0.007413966732659599,0.0
elastic_net,0.005,0.2,0.6070595616960218,0.0077962230235136135,0.0
elastic_net,0.001,1.0,0.6096657588240126,0.005260435934981431,0.0
elastic_net,0.002,1.0,0.6096671980694539,0.005261132740750219,0.0
elastic_net,0.005,1.0,0.6096679925909756,0.005260263561059368,0.0
elastic_net,0.01,1.0,0.6096943984899761,0.00526385000437489,0.0
elastic_net,0.01,0.5,0.6102811597474193,0.009424173157072713,0.0
elastic_net,0.01,0.8,0.6218872993477017,0.004676523247889911,0.0
elastic_net,0.005,0.8,0.622019992841638,0.004659955543523827,0.0
elastic_net,0.002,0.8,0.6224746898417383,0.004628051353458035,0.0
elastic_net,0.005,0.5,0.6224961793613779,0.004630193160220781,0.0
elastic_net,0.001,0.8,0.6232309125438773,0.004574462416716797,0.0
elastic_net,0.002,0.5,0.623607270448356,0.004546768189167665,0.0
elastic_net,0.002,0.2,0.6247354510542853,0.004469464321416622,0.0
elastic_net,0.001,0.5,0.6254398164687086,0.00441676391464038,0.0
elastic_net,0.001,0.2,0.6275469362693379,0.004266073335969258,0.0
lasso,0.5,,0.5444219108009071,0.01815568318586064,8.6
lasso,1.0,,0.5456616733024366,0.01795462848429967,9.0
lasso,2.0,,0.5524209690342101,0.017419464242305657,9.2
lasso,5.0,,0.5594798342688382,0.017992956683194762,9.8
lasso,10.0,,0.5623205606012299,0.018441701612289568,9.8
lasso,0.2,,0.5698034137791226,0.01637582174714321,7.4
lasso,0.05,,0.5995454040544466,0.005240325633136908,0.0
lasso,0.1,,0.6027941268887214,0.00791414928757318,2.8
lasso,0.02,,0.6041405403653439,0.007466907869330518,0.0
lasso,0.001,,0.6096657588240126,0.005260435934981431,0.0
lasso,0.002,,0.6096671980694539,0.005261132740750219,0.0
lasso,0.005,,0.6096679925909756,0.005260263561059368,0.0
lasso,0.01,,0.6096943984899761,0.00526385000437489,0.0
