outer_repeat,outer_fold,model,C,l1_ratio,mean_inner_log_loss,se_inner_log_loss,mean_n_selected
1,1,ridge,0.2,,0.5396033321237265,0.024192398805937047,10.0
1,1,ridge,0.1,,0.5400572487941517,0.0198405061066147,10.0
1,1,ridge,0.5,,0.546151173679972,0.029625974517972872,10.0
1,1,ridge,0.05,,0.5467985517833656,0.015795531553387164,10.0
1,1,ridge,1.0,,0.5526443793764504,0.032787536579933954,10.0
1,1,ridge,2.0,,0.5582570817645978,0.034942317070555826,10.0
1,1,ridge,0.02,,0.5623712809838289,0.011186255490038415,10.0
1,1,ridge,5.0,,0.5633822177813651,0.03662776518261553,10.0
1,1,ridge,10.0,,0.5654440168467314,0.037208175575676995,10.0
1,1,ridge,0.01,,0.5745111301793672,0.0086770550376312,10.0
1,1,ridge,0.005,,0.5839279339748764,0.0072526523935319345,10.0
1,1,ridge,0.002,,0.5914473490748017,0.006544118482656577,10.0
1,1,ridge,0.001,,0.5943924644691,0.0063898015016944235,10.0
1,1,elastic_net,0.2,0.2,0.5414395753786314,0.021759127617553997,9.2
1,1,elastic_net,0.5,0.5,0.5430094103886506,0.026375090321176353,9.4
1,1,elastic_net,0.5,0.8,0.5430357541738952,0.024114159966718108,8.8
1,1,elastic_net,0.5,1.0,0.5447541404265055,0.022341069464475345,8.6
1,1,elastic_net,0.5,0.2,0.5448057047014345,0.028315988312247097,9.6
1,1,elastic_net,1.0,1.0,0.5468641859530724,0.028734537921959926,9.4
1,1,elastic_net,1.0,0.8,0.5479778824117989,0.02952148629857821,9.4
1,1,elastic_net,1.0,0.5,0.5497053423965289,0.03073641857644946,9.4
1,1,elastic_net,0.2,0.5,0.5514230575018548,0.017654600236627686,8.6
1,1,elastic_net,1.0,0.2,0.5514593312152913,0.03198236724161723,9.8
1,1,elastic_net,0.1,0.2,0.552885720438921,0.016241591705602774,9.0
1,1,elastic_net,2.0,1.0,0.5545044208489582,0.03250415126791905,9.4
1,1,elastic_net,2.0,0.8,0.5552334610202498,0.03300273831428775,9.8
1,1,elastic_net,2.0,0.5,0.5563468365596408,0.03374168562762747,10.0
1,1,elastic_net,2.0,0.2,0.5574772843406792,0.03446242040621523,10.0
1,1,elastic_net,5.0,1.0,0.5615608018329049,0.03546351394641081,10.0
1,1,elastic_net,5.0,0.8,0.5618865416112822,0.035686710877256916,10.0
1,1,elastic_net,5.0,0.5,0.5623845198191336,0.0360169752692034,10.0
1,1,elastic_net,5.0,0.2,0.5628897537663736,0.036343880751201194,10.0
1,1,elastic_net,10.0,1.0,0.5645705687046925,0.036631014571784484,10.0
1,1,elastic_net,10.0,0.8,0.564737348494759,0.03674552043494365,10.0
1,1,elastic_net,10.0,0.5,0.5649863083558792,0.036917056486918044,10.0
1,1,elastic_net,10.0,0.2,0.5652386180260144,0.037087005620472305,10.0
1,1,elastic_net,0.2,0.8,0.5666703373208876,0.013547035874527434,7.6
1,1,elastic_net,0.05,0.2,0.5769930879734446,0.010641994289991349,7.4
1,1,elastic_net,0.2,1.0,0.5794719519747679,0.012006694403307693,7.0
1,1,elastic_net,0.1,0.5,0.5822624261636355,0.010972559880441227,6.8
1,1,elastic_net,0.05,0.8,0.5977339012123426,0.0059843390111780515,0.0
1,1,elastic_net,0.02,0.2,0.597790339453598,0.006371993780810268,1.8
1,1,elastic_net,0.05,1.0,0.5979189052956907,0.006046997969282518,0.0
1,1,elastic_net,0.05,0.5,0.5979742798897775,0.006433786604412704,1.8
1,1,elastic_net,0.1,0.8,0.598141403504742,0.0069957045447027605,3.2
1,1,elastic_net,0.1,1.0,0.5981580372608227,0.006493870110429529,1.8
1,1,elastic_net,0.02,0.8,0.6000115746582628,0.005158193211317338,0.0
1,1,elastic_net,0.02,1.0,0.6001897954784263,0.005316482956738985,0.0
1,1,elastic_net,0.02,0.5,0.60036514953647,0.005017785128036038,0.0
1,1,elastic_net,0.01,0.2,0.6006048988800079,0.005049526726085671,0.0
1,1,elastic_net,0.005,0.2,0.6014188468158694,0.004947670982417516,0.0
1,1,elastic_net,0.01,0.5,0.6050145616652699,0.005748536827674543,0.0
1,1,elastic_net,0.01,1.0,0.6066192936639061,0.004203794064177413,0.0
1,1,elastic_net,0.001,1.0,0.6083791645661583,0.003702992920313942,0.0
1,1,elastic_net,0.002,1.0,0.608379249526185,0.0037030756060421736,0.0
1,1,elastic_net,0.005,1.0,0.6083860311910959,0.003694935646227778,0.0
1,1,elastic_net,0.01,0.8,0.6157746791370737,0.003736597062821787,0.0
1,1,elastic_net,0.005,0.5,0.6189842306984449,0.005056745305792541,0.0
1,1,elastic_net,0.002,0.2,0.6220399571907176,0.0053969328070265325,0.0
1,1,elastic_net,0.005,0.8,0.6222091473282809,0.0025786539829364147,0.0
1,1,elastic_net,0.002,0.8,0.6229244716270974,0.0025783432344642066,0.0
1,1,elastic_net,0.001,0.8,0.6241108894369436,0.0025569141932169476,0.0
1,1,elastic_net,0.002,0.5,0.6246921205922319,0.0025441628413347267,0.0
1,1,elastic_net,0.001,0.5,0.6274907140237577,0.0025028619737843196,0.0
1,1,elastic_net,0.001,0.2,0.6306133115957058,0.0024509913974429076,0.0
1,1,lasso,0.5,,0.5447541404265055,0.022341069464475345,8.6
1,1,lasso,1.0,,0.5468641859530724,0.028734537921959926,9.4
1,1,lasso,2.0,,0.5545044208489582,0.03250415126791905,9.4
1,1,lasso,5.0,,0.5615608018329049,0.03546351394641081,10.0
1,1,lasso,10.0,,0.5645705687046925,0.036631014571784484,10.0
1,1,lasso,0.2,,0.5794719519747679,0.012006694403307693,7.0
1,1,lasso,0.05,,0.5979189052956907,0.006046997969282518,0.0
1,1,lasso,0.1,,0.5981580372608227,0.006493870110429529,1.8
1,1,lasso,0.02,,0.6001897954784263,0.005316482956738985,0.0
1,1,lasso,0.01,,0.6066192936639061,0.004203794064177413,0.0
1,1,lasso,0.001,,0.6083791645661583,0.003702992920313942,0.0
1,1,lasso,0.002,,0.608379249526185,0.0037030756060421736,0.0
1,1,lasso,0.005,,0.6083860311910959,0.003694935646227778,0.0
1,2,ridge,0.2,,0.5293116439845773,0.025147464151136528,10.0
1,2,ridge,0.5,,0.531881754661801,0.03169366019172522,10.0
1,2,ridge,0.1,,0.5326103080917582,0.020038951995027508,10.0
1,2,ridge,1.0,,0.536673459215787,0.03634154497950915,10.0
1,2,ridge,0.05,,0.541175389276041,0.015021548666221718,10.0
1,2,ridge,2.0,,0.5417253943057181,0.04049899754162943,10.0
1,2,ridge,5.0,,0.5469285957027662,0.04453944695083873,10.0
1,2,ridge,10.0,,0.549340868157992,0.046400933993766505,10.0
1,2,ridge,0.02,,0.5579758153345982,0.009618374406466897,10.0
1,2,ridge,0.01,,0.5708874970936135,0.007328239919154049,10.0
1,2,ridge,0.005,,0.5809964203160218,0.006497067479659535,10.0
1,2,ridge,0.002,,0.5891220621396586,0.006397110882288223,10.0
1,2,ridge,0.001,,0.5923141226496771,0.006473785280145883,10.0
1,2,elastic_net,0.5,0.2,0.5342554681024024,0.030129231352910346,9.6
1,2,elastic_net,0.5,0.5,0.5364127421062153,0.027845861608365767,9.2
1,2,elastic_net,0.2,0.2,0.5366630645195227,0.023855802468645403,9.4
1,2,elastic_net,1.0,0.2,0.537328670197604,0.03516780801520092,9.8
1,2,elastic_net,1.0,0.5,0.5382095057513929,0.03361933511035736,9.6
1,2,elastic_net,1.0,0.8,0.5386515009187923,0.03197496638326461,9.4
1,2,elastic_net,0.5,0.8,0.5387488310024489,0.0263997236937049,9.2
1,2,elastic_net,1.0,1.0,0.5388495305801746,0.030845551963716394,9.2
1,2,elastic_net,0.5,1.0,0.5413403864223725,0.02578687463220025,9.0
1,2,elastic_net,2.0,0.2,0.541810332689993,0.03975147329788264,10.0
1,2,elastic_net,2.0,0.5,0.5425013724905889,0.03895982735350776,9.8
