model,outer_repeat,outer_fold,C,l1_ratio,n_selected,inner_mean_log_loss,inner_se_log_loss
ridge,1,1,0.2,,10,0.5396033321237265,0.024192398805937047
elastic_net,1,1,0.2,0.2,10,0.5414395753786314,0.021759127617553997
lasso,1,1,0.5,,8,0.5447541404265055,0.022341069464475345
ridge,1,2,0.2,,10,0.5293116439845773,0.025147464151136528
elastic_net,1,2,0.5,0.2,10,0.5342554681024024,0.030129231352910346
lasso,1,2,1.0,,10,0.5388495305801746,0.030845551963716394
ridge,1,3,0.2,,10,0.5543081683605505,0.02258342483818348
elastic_net,1,3,0.5,0.2,9,0.5558180032524969,0.02568510373416463
lasso,1,3,1.0,,8,0.5591392288425342,0.025882974277111757
ridge,1,4,0.2,,10,0.5138045128991616,0.0214344055865113
elastic_net,1,4,0.5,0.5,8,0.5111547618218248,0.022575067786278907
lasso,1,4,0.5,,8,0.5121955367170353,0.020311884562201853
ridge,1,5,0.05,,10,0.5816463321360437,0.02211213717546779
elastic_net,1,5,0.1,0.2,8,0.5899827991464217,0.026641858380736412
lasso,1,5,0.05,,0,0.6027450723951807,0.007030627346251165
ridge,2,1,0.2,,10,0.5377819623460484,0.05141274145145417
elastic_net,2,1,0.5,0.2,10,0.5463172957854344,0.062422610436290826
lasso,2,1,2.0,,10,0.5559950181034681,0.07227831457012936
ridge,2,2,0.05,,10,0.5654459969875965,0.014682564796029437
elastic_net,2,2,0.1,0.2,9,0.5684353281076719,0.01796827238252489
lasso,2,2,0.5,,8,0.5787729464158187,0.03038366235079129
ridge,2,3,0.05,,10,0.5781646067952936,0.01820892330203638
elastic_net,2,3,0.2,0.2,9,0.5876933102922302,0.0283503430300686
lasso,2,3,0.5,,9,0.6000801837606468,0.033184845199601194
ridge,2,4,0.1,,10,0.5477042402912408,0.019970156145173782
elastic_net,2,4,0.5,1.0,8,0.5417010956473657,0.01673527605437669
lasso,2,4,0.5,,8,0.5417010956473657,0.01673527605437669
ridge,2,5,0.2,,10,0.557131386653125,0.008163425340852841
elastic_net,2,5,0.2,0.2,9,0.5562801923987923,0.008238247731446005
lasso,2,5,0.5,,8,0.5582913014751274,0.009779626422780057
ridge,3,1,0.1,,10,0.5604904988500852,0.027243291557398724
elastic_net,3,1,0.2,0.2,9,0.5642707949112128,0.03175810384052214
lasso,3,1,0.5,,8,0.5729273375763473,0.036852416731466775
ridge,3,2,0.05,,10,0.5574423404852242,0.01150369381028263
elastic_net,3,2,0.1,0.2,9,0.5691532678315776,0.010093488925376393
lasso,3,2,0.2,,7,0.5857475742595979,0.01324059467374451
ridge,3,3,0.2,,10,0.529854654139312,0.02206814928392868
elastic_net,3,3,0.5,0.2,10,0.5320671048641799,0.02566350426668089
lasso,3,3,1.0,,10,0.5364775673719051,0.026103428452386043
ridge,3,4,0.1,,10,0.5672477957845402,0.02950001698578786
elastic_net,3,4,0.2,0.2,9,0.5671271131405743,0.03177992028340719
lasso,3,4,0.5,,8,0.571267566657364,0.032823577591721075
ridge,3,5,0.2,,10,0.5578438117046015,0.023742817599363596
elastic_net,3,5,0.5,0.5,9,0.5600999022707631,0.02883192243089851
lasso,3,5,1.0,,8,0.5614580220478864,0.03193643350404078
ridge,4,1,0.2,,10,0.5421869454628425,0.015589160919235326
elastic_net,4,1,0.2,0.2,9,0.5436541396820768,0.015229453807775718
lasso,4,1,0.5,,8,0.5474152409337892,0.017659470836018726
ridge,4,2,0.1,,10,0.5530332875821159,0.021744220727590163
elastic_net,4,2,0.2,0.2,8,0.5525167564740772,0.0247592272860308
lasso,4,2,0.5,,7,0.556121490802002,0.027480754859590496
ridge,4,3,0.2,,10,0.5233825961577441,0.03400599714701644
elastic_net,4,3,0.5,0.2,10,0.5285579930311977,0.040054022998219765
lasso,4,3,1.0,,10,0.5388171622545709,0.04261475399298096
ridge,4,4,0.2,,10,0.5529683347228509,0.03810002483114168
elastic_net,4,4,0.2,0.2,10,0.5542049246742868,0.03396337094029559
lasso,4,4,0.5,,8,0.5582848759628883,0.03885806235858224
ridge,4,5,0.2,,10,0.5196629508315574,0.02113938697553447
elastic_net,4,5,0.5,0.2,9,0.5231705244531707,0.02364274195520419
lasso,4,5,1.0,,9,0.5304332640534432,0.022162156757068858
ridge,5,1,0.1,,10,0.5628939854428232,0.02647779744707909
elastic_net,5,1,0.2,0.2,9,0.571843549702067,0.03250621648249885
lasso,5,1,0.5,,9,0.5860686860985972,0.03883187482850233
ridge,5,2,0.1,,10,0.5635734030399565,0.017954965409240454
elastic_net,5,2,0.2,0.2,10,0.5711116573916426,0.020214586624701335
lasso,5,2,0.5,,8,0.5808386895996207,0.02487285806941616
ridge,5,3,0.2,,10,0.5384570759133712,0.02530380829658307
elastic_net,5,3,0.2,0.2,9,0.5388192285015216,0.021965054305126273
lasso,5,3,0.5,,8,0.5433085550732447,0.02500091377135287
ridge,5,4,0.05,,10,0.574648979016507,0.026136735401786265
elastic_net,5,4,0.2,0.2,9,0.5857378937937463,0.04271954046947396
lasso,5,4,0.5,,8,0.5988974986967561,0.052273807548905656
ridge,5,5,0.2,,10,0.5440927806528024,0.04273924972885449
elastic_net,5,5,0.2,0.2,10,0.5497419762833284,0.03843966404580344
lasso,5,5,1.0,,9,0.5582515945969996,0.05428393322928164
ridge,6,1,0.1,,10,0.5589239126287299,0.018703895210908972
elastic_net,6,1,0.1,0.2,8,0.5653579311666737,0.015065379068371873
lasso,6,1,0.5,,8,0.5771910917719036,0.0305411132740573
ridge,6,2,0.2,,10,0.5667395909595205,0.017665229615021854
elastic_net,6,2,0.5,0.2,9,0.5732379352384944,0.021015164692608456
lasso,6,2,1.0,,9,0.579933699646759,0.022410318241257474
ridge,6,3,0.1,,10,0.5552512445796497,0.014543350626507547
elastic_net,6,3,0.5,1.0,7,0.5462543276279882,0.01376207593407846
lasso,6,3,0.5,,7,0.5462543276279882,0.01376207593407846
ridge,6,4,0.2,,10,0.5466022018111191,0.015479284468648234
elastic_net,6,4,0.2,0.2,9,0.5601754492579966,0.018182009054866825
lasso,6,4,1.0,,9,0.5844368987836995,0.03178372252731922
ridge,6,5,0.1,,10,0.5384305135677923,0.035971496617931004
elastic_net,6,5,0.2,0.2,9,0.5423847478914389,0.039163761404357754
lasso,6,5,0.5,,9,0.5494209024723201,0.04108363640914492
ridge,7,1,0.05,,10,0.5810453396585558,0.010221172000607353
elastic_net,7,1,0.2,0.2,9,0.588828046892598,0.017350181968593198
lasso,7,1,0.1,,2,0.5971553626866466,0.005928274795731617
ridge,7,2,0.2,,10,0.517481876807948,0.009865574647333062
elastic_net,7,2,0.2,0.2,10,0.5244459006584792,0.009818860865111623
lasso,7,2,1.0,,10,0.5329443293052958,0.008878584636260175
ridge,7,3,0.1,,10,0.5480021166372577,0.024123194063395144
elastic_net,7,3,0.2,0.2,9,0.5474696703975871,0.02908160595697053
lasso,7,3,0.5,,8,0.5509980987166907,0.03200795265012493
ridge,7,4,0.1,,10,0.5797387913566583,0.021327738781966463
elastic_net,7,4,0.2,0.2,8,0.5816396836679889,0.0209558037247286
lasso,7,4,0.5,,8,0.590098559128121,0.02344211056061649
ridge,7,5,0.2,,10,0.5176345738834642,0.009911855034060524
elastic_net,7,5,0.5,0.2,10,0.5197659425158891,0.012516425081223574
lasso,7,5,1.0,,9,0.5256309353731297,0.013639476769263774
ridge,8,1,0.2,,10,0.5526748797276315,0.03702369880091881
elastic_net,8,1,0.2,0.2,9,0.5556302119644535,0.034075837864801777
lasso,8,1,0.5,,8,0.5646537332793335,0.03787887709494527
