model,feature,selection_frequency,median_standardized_coefficient,coefficient_p2_5,coefficient_p97_5
elastic_net,Blood base excess (OLV-30 min),1.0,0.29605283585756426,0.09018786391405104,0.5443123598666706
elastic_net,Heart rate (OLV-30 min),1.0,0.41661860887788726,0.22471258809545325,0.6728432966644206
elastic_net,PEEP (OLV-30 min),1.0,-0.2971279907329545,-0.4711151213377445,-0.18157055700237348
elastic_net,PaCO2 (OLV-30 min),1.0,0.41336682421935,0.20058038595176828,0.6644971288718282
elastic_net,Ti/Ttot (OLV-30 min),1.0,0.2787158888201985,0.1395414812123565,0.41778680202162694
elastic_net,Male sex,0.98,0.17802558858842588,0.021255115514415644,0.32840196055655374
elastic_net,Preoperative neutrophils,0.96,0.4143871857671786,0.03675970437620964,0.7672901825805463
elastic_net,Preoperative CRP,0.94,-0.19501058129421317,-0.367881315133037,0.0
elastic_net,Driving pressure (OLV-30 min),0.78,0.0389808107519095,-0.004116560033490131,0.1774677144270306
elastic_net,Weight (kg),0.46,0.0,-0.20961676060668366,0.00829208922773621
lasso,Heart rate (OLV-30 min),0.98,0.44763258198062184,0.14634127702044905,0.7313146692860832
lasso,PEEP (OLV-30 min),0.98,-0.34006782424862814,-0.4703064045720924,-0.038480510718557834
lasso,PaCO2 (OLV-30 min),0.96,0.4520513496348806,0.012845855548732526,0.7506995655997358
lasso,Blood base excess (OLV-30 min),0.94,0.32215095511066416,0.0,0.588574751516006
lasso,Male sex,0.94,0.17933825637971246,0.0,0.364243582880007
lasso,Ti/Ttot (OLV-30 min),0.94,0.28384514348579587,0.0,0.4480042983866292
lasso,Preoperative neutrophils,0.92,0.45501365429091206,0.0,0.9295007262254326
lasso,Preoperative CRP,0.9,-0.1944094157438654,-0.3689695904068761,0.0
lasso,Driving pressure (OLV-30 min),0.38,0.0,0.0,0.16386411338522203
lasso,Weight (kg),0.2,0.0,-0.19040233996880904,0.0
ridge,Blood base excess (OLV-30 min),1.0,0.2597297797619772,0.12876799267222905,0.48323475991763337
ridge,Driving pressure (OLV-30 min),1.0,0.08305925687231624,-0.025366821973947892,0.17986146542222303
ridge,Heart rate (OLV-30 min),1.0,0.36261153019028786,0.21437660242464743,0.5852888306869631
ridge,Male sex,1.0,0.17155736065080984,0.07058680587376363,0.2927090832155544
ridge,PEEP (OLV-30 min),1.0,-0.27301908979664924,-0.4433144137411489,-0.1526238438328089
ridge,PaCO2 (OLV-30 min),1.0,0.3755241744929384,0.1612245540985075,0.5769826240904461
ridge,Preoperative CRP,1.0,-0.18233921486403004,-0.3263353660126744,-0.012600543573551
ridge,Preoperative neutrophils,1.0,0.3790479740823979,0.07782038091971213,0.6663062122696294
ridge,Ti/Ttot (OLV-30 min),1.0,0.25695006352724425,0.11907810024547513,0.4316172874720782
ridge,Weight (kg),1.0,-0.048470242521589324,-0.16496982814346448,0.03214018952458369
