threshold,TP,FP,TN,FN,sensitivity,specificity,PPV,NPV,accuracy
0.05,52,128,1,0,1.0,0.007751937984496124,0.28888888888888886,1.0,0.292817679558011
0.1,51,124,5,1,0.9807692307692307,0.03875968992248062,0.2914285714285714,0.8333333333333334,0.30939226519337015
0.15000000000000002,49,103,26,3,0.9423076923076923,0.20155038759689922,0.3223684210526316,0.896551724137931,0.4143646408839779
0.2,45,79,50,7,0.8653846153846154,0.3875968992248062,0.3629032258064516,0.8771929824561403,0.5248618784530387
0.25,35,53,76,17,0.6730769230769231,0.5891472868217055,0.3977272727272727,0.8172043010752689,0.6132596685082873
0.3,32,42,87,20,0.6153846153846154,0.6744186046511628,0.43243243243243246,0.8130841121495327,0.6574585635359116
0.35000000000000003,23,29,100,29,0.4423076923076923,0.7751937984496124,0.4423076923076923,0.7751937984496124,0.6795580110497238
0.4,19,20,109,33,0.36538461538461536,0.8449612403100775,0.48717948717948717,0.7676056338028169,0.7071823204419889
0.45,16,12,117,36,0.3076923076923077,0.9069767441860465,0.5714285714285714,0.7647058823529411,0.7348066298342542
0.5,11,6,123,41,0.21153846153846154,0.9534883720930233,0.6470588235294118,0.75,0.7403314917127072
0.55,7,2,127,45,0.1346153846153846,0.9844961240310077,0.7777777777777778,0.7383720930232558,0.7403314917127072
0.6000000000000001,2,1,128,50,0.038461538461538464,0.9922480620155039,0.6666666666666666,0.7191011235955056,0.7182320441988951
