feature,median_standardized_coefficient,coefficient_p2_5,coefficient_p97_5,positive_frequency
Blood base excess (OLV-30 min),0.17379901583061108,-0.0017784470063430655,0.5285834871967411,0.97
Driving pressure (OLV-30 min),0.07517150096421243,-0.1941515187660179,0.30621083703809204,0.815
Heart rate (OLV-30 min),0.2811973536935105,0.007729708611879746,0.8623128999855397,0.995
Male sex,0.11359556349361066,-0.058182535260739236,0.3774433795437805,0.885
PEEP (OLV-30 min),-0.2119460481613039,-0.565879129953786,-0.0014378091673722523,0.02
PaCO2 (OLV-30 min),0.26811609406622905,0.0067149804380824876,0.6957030735574316,0.99
Preoperative CRP,-0.11806192707847661,-0.37292088075609836,0.041720820512247,0.065
Preoperative neutrophils,0.25840633083054915,-0.010413647683658225,0.6700592517184593,0.955
Ti/Ttot (OLV-30 min),0.19077909285135908,0.0035444207860390272,0.5315436391249612,0.985
Weight (kg),-0.03884658934241057,-0.2870725202304655,0.13857586136669814,0.265
