bootstrap,C,apparent_AUC,test_AUC,optimism_AUC,apparent_AUPRC,test_AUPRC,optimism_AUPRC,apparent_Brier,test_Brier,optimism_Brier,apparent_Log loss,test_Log loss,optimism_Log loss
1,0.02,0.8220069863448713,0.7075134168157424,0.11449356952912892,0.6236479373037869,0.507515233559306,0.11613270374448093,0.16282671403762036,0.18659850571137604,-0.023771791673755677,0.4978954804993823,0.5540081439500227,-0.05611266345064042
2,0.1,0.7991949910554561,0.6927549194991055,0.1064400715563506,0.7067530109344968,0.5328413996548329,0.17391161127966392,0.15076040519706113,0.18047000449368228,-0.029709599296621148,0.46867397117186876,0.5406215397158505,-0.07194756854398171
3,0.05,0.8005111649179445,0.7289803220035778,0.07153084291436673,0.7477938942650139,0.5662745666289171,0.1815193276360968,0.17283689769556088,0.177781338468445,-0.004944440772884112,0.5243865801332098,0.5357513933138692,-0.011364813180659405
4,0.2,0.8294573643410852,0.7544722719141325,0.07498509242695273,0.6991024379242251,0.6106614131189013,0.08844102480532379,0.12652733599898283,0.16999442373113072,-0.043467087732147885,0.4056986106342735,0.5138560515131056,-0.10815744087883217
5,0.05,0.7927967337416156,0.7392665474060823,0.0535301863355333,0.7161340181438972,0.6021359053300441,0.11399811281385308,0.15982488969857467,0.17168112451565046,-0.01185623481707579,0.4957210267074256,0.5209026608037611,-0.025181634096335503
6,0.2,0.8393608074011775,0.7528324388789505,0.086528368522227,0.704893281102694,0.5661105305379281,0.13878275056476586,0.15325527609703102,0.17266042909144846,-0.019405152994417446,0.4669288592479559,0.5109057746781416,-0.04397691543018567
7,0.001,0.6760305343511451,0.6772510435301133,-0.0012205091789682099,0.4631250403087036,0.4943016539381281,-0.031176613629424477,0.19862164303242283,0.20344429279466927,-0.004822649762246445,0.5860874400269906,0.596433554343031,-0.010346114316040378
8,1.0,0.857976086322543,0.737030411449016,0.12094567487352692,0.7885748853149028,0.5648395625312711,0.22373532278363173,0.12809460125840302,0.18069991893354567,-0.05260531767514265,0.4102748954414875,0.542621680389098,-0.13234678494761049
9,0.02,0.79647124201167,0.6920095408467501,0.10446170116491982,0.6763042664035335,0.5115007378554821,0.16480352854805136,0.17877791496630907,0.18599053682457992,-0.007212621858270846,0.5389082246758817,0.5572613344096318,-0.01835310973375004
10,0.1,0.7655780780780781,0.7376267143709003,0.027951363707177768,0.4993089772221627,0.5170795421941663,-0.017770564972003577,0.13957652625538833,0.18370237671069956,-0.04412585045531123,0.43810582132292414,0.5415295299870272,-0.10342370866410305
11,0.002,0.7118219339622642,0.7182468694096602,-0.006424935447395974,0.5459154503095422,0.551365334307953,-0.005449883998410732,0.202807018291766,0.2006022432849407,0.0022047750068253102,0.5943285529013244,0.5896935838291094,0.004634969072214945
12,0.1,0.7865989202921563,0.7270423375074538,0.05955658278470244,0.5928771039287978,0.5311895269216955,0.06168757700710226,0.15329372453888887,0.17853597298457854,-0.025242248445689675,0.46904342200356325,0.5403969437977606,-0.07135352179419735
13,0.02,0.7410714285714285,0.7418008348240906,-0.000729406252662157,0.5177540695532833,0.5760173876693996,-0.05826331811611629,0.18029862513672737,0.18945704398323762,-0.009158418846510252,0.5410526985382661,0.5604160188886356,-0.019363320350369473
