analysis,outer_fold,C,mean_inner_log_loss
complete_case,1,0.05,0.5868581558861197
complete_case,1,0.1,0.5884582115642367
complete_case,1,0.02,0.59265311941286
complete_case,1,0.2,0.5984856524287794
complete_case,1,0.01,0.5986294763239786
complete_case,1,0.005,0.6036010953248929
complete_case,1,0.002,0.6077381090736247
complete_case,1,0.001,0.6093984002021487
complete_case,1,0.5,0.6243406106490783
complete_case,1,1.0,0.6474419392876993
complete_case,1,2.0,0.6675849461060391
complete_case,1,5.0,0.6872187817168421
complete_case,1,10.0,0.6971050187648513
complete_case,2,0.1,0.5693098643096175
complete_case,2,0.2,0.572458825395975
complete_case,2,0.05,0.5727835854481584
complete_case,2,0.02,0.5840569201033536
complete_case,2,0.5,0.5855070893276639
complete_case,2,0.01,0.5929493241378239
complete_case,2,1.0,0.598679359065239
complete_case,2,0.005,0.5996183452989993
complete_case,2,0.002,0.6047317918235356
complete_case,2,0.001,0.6066778238920231
complete_case,2,2.0,0.6114940456387978
complete_case,2,5.0,0.6251378411233204
complete_case,2,10.0,0.6322192543341065
complete_case,3,0.2,0.5610494169968403
complete_case,3,0.1,0.5630338948926373
complete_case,3,0.5,0.5665225757727976
complete_case,3,0.05,0.5700558107910928
complete_case,3,1.0,0.5742427260347176
complete_case,3,2.0,0.5818894308227234
complete_case,3,0.02,0.5831552206202979
complete_case,3,5.0,0.5888068470984592
complete_case,3,10.0,0.591967979388247
complete_case,3,0.01,0.5923382345186343
complete_case,3,0.005,0.5991477386811865
complete_case,3,0.002,0.6044652644101897
complete_case,3,0.001,0.6065260985712709
complete_case,4,0.05,0.5836047335963086
complete_case,4,0.1,0.5861473996069538
complete_case,4,0.02,0.5896522873501687
complete_case,4,0.01,0.5959971444172467
complete_case,4,0.2,0.5983956410050426
complete_case,4,0.005,0.6011523493869092
complete_case,4,0.002,0.6053275132098686
complete_case,4,0.001,0.606969613436504
complete_case,4,0.5,0.6266255759684091
complete_case,4,1.0,0.6512437687544265
complete_case,4,2.0,0.6732194382604917
complete_case,4,5.0,0.6939392742874773
complete_case,4,10.0,0.7034446609881002
complete_case,5,0.1,0.5657321013421452
complete_case,5,0.2,0.5676089797711239
complete_case,5,0.05,0.5712336454160878
complete_case,5,0.5,0.5832562348142243
complete_case,5,0.02,0.5835926687092664
complete_case,5,0.01,0.5924901370964705
complete_case,5,0.005,0.5991596764147683
complete_case,5,1.0,0.6025076272763144
complete_case,5,0.002,0.6044347457639949
complete_case,5,0.001,0.6065019516249963
complete_case,5,2.0,0.6244526306147591
complete_case,5,5.0,0.6518386101546457
complete_case,5,10.0,0.6680032649318168
