analysis,outer_fold,C,mean_inner_log_loss
iterative_multiple,1,0.1,0.5582812957184965
iterative_multiple,1,0.2,0.5602159159702317
iterative_multiple,1,0.05,0.5614549695632983
iterative_multiple,1,0.5,0.5685178843664727
iterative_multiple,1,0.02,0.5715579982898246
iterative_multiple,1,1.0,0.5765359434332986
iterative_multiple,1,0.01,0.5802036628258632
iterative_multiple,1,2.0,0.5843317547522261
iterative_multiple,1,0.005,0.5871788405001928
iterative_multiple,1,5.0,0.5926458767687283
iterative_multiple,1,0.002,0.5928797330729397
iterative_multiple,1,0.001,0.5951357426437778
iterative_multiple,1,10.0,0.5967866347828078
iterative_multiple,2,0.1,0.5579556462045214
iterative_multiple,2,0.05,0.5604542840986988
iterative_multiple,2,0.2,0.5607327220808218
iterative_multiple,2,0.5,0.5691898844353391
iterative_multiple,2,0.02,0.5704247079526226
iterative_multiple,2,1.0,0.575718566931616
iterative_multiple,2,0.01,0.579122700672299
iterative_multiple,2,2.0,0.5806132082787705
iterative_multiple,2,5.0,0.5845466524746747
iterative_multiple,2,0.005,0.5859753620782708
iterative_multiple,2,10.0,0.586174351346362
iterative_multiple,2,0.002,0.591413122422505
iterative_multiple,2,0.001,0.5935208084236909
iterative_multiple,3,0.1,0.5787809666391599
iterative_multiple,3,0.05,0.5802279080224606
iterative_multiple,3,0.2,0.5818415098584924
iterative_multiple,3,0.02,0.5869415179943533
iterative_multiple,3,0.5,0.5901327601417814
iterative_multiple,3,0.01,0.5923538140968018
iterative_multiple,3,0.005,0.5964436629328285
iterative_multiple,3,1.0,0.5965465970449616
iterative_multiple,3,0.002,0.5996480632636401
iterative_multiple,3,0.001,0.6008872407656078
iterative_multiple,3,2.0,0.6013152386218106
iterative_multiple,3,5.0,0.6049138533083056
iterative_multiple,3,10.0,0.6063080549334628
iterative_multiple,4,0.2,0.5466382167465917
iterative_multiple,4,0.1,0.5482904562603007
iterative_multiple,4,0.5,0.5507857461108099
iterative_multiple,4,0.05,0.555080515429897
iterative_multiple,4,1.0,0.5559312420299595
iterative_multiple,4,2.0,0.5605976787250713
iterative_multiple,4,5.0,0.5647614007123716
iterative_multiple,4,10.0,0.5664826754284308
iterative_multiple,4,0.02,0.5694035077052264
iterative_multiple,4,0.01,0.5805068661309739
iterative_multiple,4,0.005,0.5892369981310142
iterative_multiple,4,0.002,0.5963261228544227
iterative_multiple,4,0.001,0.5991368648508468
iterative_multiple,5,0.05,0.5756455459062281
iterative_multiple,5,0.1,0.5757277051249515
iterative_multiple,5,0.2,0.5806458016177989
iterative_multiple,5,0.02,0.58202313296672
iterative_multiple,5,0.01,0.5885841160976006
iterative_multiple,5,0.5,0.5910235070114049
iterative_multiple,5,0.005,0.5940613981323513
iterative_multiple,5,1.0,0.598413630812302
iterative_multiple,5,0.002,0.5985429208519604
iterative_multiple,5,0.001,0.6003068835951654
iterative_multiple,5,2.0,0.6038192211239164
iterative_multiple,5,5.0,0.6079417125115908
iterative_multiple,5,10.0,0.6095073947384162
